"id","theme","title","description","start_date","end_date","download_url","format"
177,"Bildung, Wissenschaft","Schül. Berufsschule [pro 1000 Einw.]","Anzahl BerufsschülerInnen gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_142.csv","CSV"
179,"Bildung, Wissenschaft","Schül. Mittelschule [pro 1000 Einw.]","Anzahl MittelschülerInnen inkl. LangzeitgymnasiastenInnen und SchülerInnen privater Mittelschulen gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr.","1992-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_146.csv","CSV"
180,"Bildung, Wissenschaft","Schül. Oberstufe [pro 1000 Einw.]","Anzahl OberstufenschülerInnen (exklusiv LangzeitgymnasiastInnen) gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr","1992-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_148.csv","CSV"
181,"Bildung, Wissenschaft","Schül. Primarschule [pro 1000 Einw.]","Anzahl PrimarschülerInnen gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr","1990-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_150.csv","CSV"
191,"Bau- und Wohnungswesen","Neuerstellte EFH [Whg.]","Neu erstellte Einfamilienhäuser","1971-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_371.csv","CSV"
192,"Bau- und Wohnungswesen","Neuerstellte MFH-Wohnungen [Whg.]","Neu erstellte Wohnungen in Mehrfamilienhäusern","1971-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_372.csv","CSV"
194,"Bau- und Wohnungswesen","Neuerstellte Wohnungen [Whg.]","Total neu erstellte Wohnungen","1971-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_370.csv","CSV"
207,"Industrie, Dienstleistungen","Restaurants pro 1000 Einwohner [Anz.]","Anzahl Restaurants, Imbissstuben, Tea-Rooms und Gelaterias inkl. Restaurants mit begrenzten Übernachtungsmöglichkeiten (2008: NOGA2008 561001 und 561002; bis 2005: NOGA2002 HA 553) gemessen an der Bevölkerungszahl Ende des Vorjahres. Bruch in der Reihe zwischen 2008 und 2011 aufgrund des Übergangs von der alten BZ-Methodik auf STATENT. Daten des aktuellsten Jahres provisorisch.","2011-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_305.csv","CSV"
209,"Bildung, Wissenschaft","Schül. Tertiärstufe [Pers. pro 1000 Einw.]","inkl. Universität Zürich, aber ohne ETH; gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr","1999-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_466.csv","CSV"
258,"Arbeit, Erwerb","Arbeitsstätten im Primärsektor [Anz.]","Anzahl Arbeitsstätten des Primärsektors (Land- und Forstwirtschaft). Aktuellstes Jahr provisorisch.","2011-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_581.csv","CSV"
259,"Arbeit, Erwerb","Mikrobetriebe (0-9 VZÄ) [Anz.]","Anzahl Mikrobetriebe mit einer Beschäftigung von weniger als 10 Vollzeitäquivalenten. Aktuellstes Jahr provisorisch.","2011-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_584.csv","CSV"
260,"Arbeit, Erwerb","Kleine Betriebe (10-49 VZÄ) [Anz.]","Anzahl Kleine Betriebe mit einer Beschäftigung von 10 - 49 Vollzeitäquivalenten. Aktuellstes Jahr provisorisch.","2011-12-31","2021-12-31","https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_585.csv","CSV"
